,Unnamed: 0,cell id,Cell Type,PN_A Convergence,PN_C Convergence,SOM Convergence,PV Convergence,Total Exc Convergence,Total Inh Convergence,Net Exc,net Exc only PV,Total number of connections,tone ampa,bg ampa,PN ampa,tone nmda,bg nmda,PN nmda,PV gaba,SOM gaba,Hz
1,1,1,PN Type A Cell,219,88,140,191,307,331,-24,116,638,-87.53902061385239,-158.00928777679715,-0.1572492764596683,-34.5728508911514,-74.89215477848317,-0.06695945764601725,1.8480979844097942,4.757616363806114,0.8
6,6,6,PN Type A Cell,180,78,143,188,258,331,-73,70,589,-92.44745850514263,-95.43769133027273,-1.1304083209688411,-32.429184822094356,-43.97639348692203,-0.45271290072355397,7.124979384497976,1.2349862695135274,0.4
22,22,22,PN Type A Cell,196,86,131,210,282,341,-59,72,623,-136.91338886969692,-133.10490433077914,-0.1882142833106519,-51.52936821226204,-54.631039326501615,-0.07005791061332996,1.6437894374060924,0.48213991541414053,
29,29,29,PN Type A Cell,210,84,164,195,294,359,-65,99,653,-126.770753981645,-164.28550455717055,-0.35694149538828357,-51.18383493702959,-74.51452279278492,-0.19338240467555978,1.3453535442887699,0.4533590152146087,0.8
48,48,48,PN Type A Cell,244,81,145,209,325,354,-29,116,679,-83.23940595050342,-90.07849530954803,-0.8979444195167298,-33.987608037968556,-40.877221324132556,-0.3669312318909179,3.406191468384047,0.5742413278421141,0.2
84,84,84,PN Type A Cell,206,81,149,207,287,356,-69,80,643,-133.08494890786224,-137.8798618243993,-0.8762774236856519,-49.5482279717895,-61.9943620494007,-0.37219000903244076,3.6234994574311776,0.46357504499983154,0.2
189,189,189,PN Type A Cell,204,75,157,202,279,359,-80,77,638,-100.20776720029974,-89.1623433861493,-2.1713646154721165,-38.46246483237533,-44.80653253072687,-0.8733718068879722,0.8656723298892636,0.5943382038055837,0.4
198,198,198,PN Type A Cell,225,101,143,180,326,323,3,146,649,-128.97456585179268,-119.77957173921288,-0.4822654760661224,-49.63278791510254,-54.18997876234237,-0.2241008665262046,5.375235376146412,0.417672540611216,0.6
207,207,207,PN Type A Cell,211,86,140,205,297,345,-48,92,642,-160.79561252416218,-100.92009790654109,-0.22029360827312902,-56.24229474834549,-48.84003987350349,-0.08821366228897556,0.9353950607510549,20.605106867369194,0.4
241,241,241,PN Type A Cell,208,71,148,196,279,344,-65,83,623,-99.19842161296562,-77.78296673236362,-3.8061604734579286,-39.92747944945064,-34.23501962712537,-1.525477868303918,6.147181511741829,15.14987979726264,0.2
