,node_id,tone2PN_AMPA_current,tone2PN_NMDA_current,PN2PN_i_AMPA_current,PN2PN_i_NMDA_current,bg2pyr_AMPA_current,bg2pyr_NMDA_current,spikes
0,1,-1085.0730429975779,-401.376665728102,-1208.578655509913,-1378.165671459778,-1668.1081828732497,-744.012004017023,3.533333333333333
1,3001,-574.9891048022769,-213.64903441217845,-1022.0706191259552,-1256.0596999650822,-3046.053285569125,-1515.6346237792154,3.2
2,3002,-739.5125693692265,-284.80230084613567,-414.217500953078,-480.72783401328087,-3449.8506967404355,-1896.7759199783513,3.2
3,2,-815.0083180425041,-277.08153997746126,-585.5388200044016,-639.3706704807335,-1774.7241618651385,-799.0136367890188,3.0
4,3,-882.4633980882301,-321.1000802928052,-599.9399245435286,-697.3267899051145,-1387.0201368225153,-659.5278817757691,2.933333333333333
5,3003,-1093.266089437109,-441.60122458728,-907.6062324796485,-1088.6663695904654,-3144.1899075465176,-1428.4829135512405,2.933333333333333
6,3004,-1495.7811405344376,-586.884799063184,-482.95350432577493,-572.0389200609491,-3414.879023114339,-1603.9961100352223,2.933333333333333
7,4,-797.4515701141141,-266.728222820918,-588.8364601387688,-647.5268007739178,-1456.439653308424,-639.8440470615592,2.933333333333333
8,5,-1040.6835258336278,-374.0091399217817,-599.3547881305414,-672.3713716843386,-1253.5203903728877,-584.7597325469676,2.8
9,3005,-855.4491668184107,-315.8101348902201,-621.2919452399638,-734.1062286622946,-3910.6709231554523,-2131.9995087200855,2.7333333333333334
10,3006,-1174.1250273031517,-442.2925899045248,-522.1081972583922,-619.5493405364429,-3298.879952986882,-1544.8523071559164,2.6666666666666665
11,6,-851.9867162686402,-279.6505673866952,-431.45156697785944,-470.11459093629026,-1349.9550953861683,-668.1600637979534,2.466666666666667
12,3007,-1333.6757583069184,-582.0736849486922,-366.8843847012277,-431.9823130182995,-3288.0657220455596,-1731.5509148451467,1.8666666666666667
13,7,-1649.2821306030307,-653.5121464432412,-730.0565351056995,-848.4022624123415,-927.4093261523998,-436.57856160740795,1.6
14,8,-1629.2981726611665,-587.8051257382098,-711.7039672008726,-797.2687456498309,-2103.31982879179,-986.2582153664633,1.3333333333333333
15,3008,-601.2636309527519,-217.58174705548868,-239.840127489319,-282.7505598702815,-3200.1921640090422,-1423.0185014456854,1.1333333333333333
16,9,-1411.9276157390302,-505.68103108842354,-732.4278459908213,-847.6454719218672,-1634.95723806089,-782.8346782953986,1.0666666666666667
17,3009,-911.6013728551715,-340.885948701027,-975.9681531909374,-1145.3754169680833,-3483.5582062167055,-1900.812359068302,1.0
18,3010,-1170.3478263812062,-457.3398184686257,-894.9999947327849,-1054.1996146298186,-3418.89422865403,-1890.7657072446618,0.9333333333333333
19,10,-804.4457970983716,-303.29653108036706,-441.4308531910383,-497.3824974509517,-1119.8817985779053,-499.3646498014339,0.8
20,11,-658.411541571104,-216.77153157640174,-534.7428274825266,-587.5216308435672,-1914.8874763351052,-839.3821659953242,0.7333333333333333
21,3011,-951.0184016056414,-354.76166394113153,-530.7020587002063,-623.9193379537896,-4180.621479117284,-2144.590428223142,0.7333333333333333
22,3012,-784.4400071545118,-269.56816791353094,-562.9630394902175,-646.9280476659966,-2940.057968147992,-1551.027136137527,0.7333333333333333
23,12,-619.5177378887385,-205.44495301185955,-395.39017519953353,-420.479862448586,-2203.316186506823,-1268.7888524511884,0.7333333333333333
24,3013,-989.6982981356695,-376.56563410975434,-382.14331288132587,-464.9752593282194,-3036.0816970441806,-1558.9612942912297,0.6666666666666666
25,13,-1636.4165173843485,-619.1200625696707,-506.62309076467346,-552.6964254175577,-2029.7584784409423,-1002.1874451433074,0.6666666666666666
26,3014,-1070.1304194286295,-407.16531020792667,-479.78569492007597,-564.81755799573,-3126.3775347013016,-1390.989157283061,0.6
27,14,-976.5316482244522,-335.8963019904157,-900.3211595503265,-969.8603945568948,-1750.8007579105501,-895.842993836338,0.6
28,3015,-567.9779024821137,-209.03917018754225,-778.5693325754103,-921.5656341461109,-3325.800450401263,-1711.2275438282375,0.6
29,15,-954.3346414678002,-357.323104737481,-748.887324090855,-853.7077008352733,-1256.098075224865,-569.0503727621431,0.4666666666666667
30,16,-1036.7694926223082,-369.2482515775646,-326.75335433653265,-366.4693088327356,-824.0514916373896,-384.5386713842414,0.4
31,3016,-1297.3139876831412,-521.4235793066966,-765.5802652515104,-926.0307312744842,-2615.7230184573705,-1184.5668898690885,0.4
32,17,-1319.3814194640797,-488.431319400528,-483.836641027312,-548.1554467014412,-1255.703537117242,-596.0544789710663,0.4
33,3017,-664.4309400499158,-267.23600361071533,-504.97068600591257,-612.8099613512372,-2877.829438292459,-1362.6636489293585,0.3333333333333333
34,3018,-1081.1852484427052,-414.58647865120156,-657.0386738726014,-788.7899791510793,-3002.446587823162,-1394.241024467614,0.3333333333333333
35,18,-708.8916654833716,-234.7551605529919,-503.1937611103788,-552.716189841214,-1742.0583974489564,-852.3233187581776,0.3333333333333333
36,19,-872.1391919852672,-347.757828467899,-689.0514237469151,-793.5807361036931,-1487.6764624375055,-686.0176853388451,0.26666666666666666
37,3019,-786.117734132309,-288.4546890255505,-510.78777247801634,-601.0692196252746,-4601.778481968765,-2440.6570472387007,0.06666666666666667
38,3020,-1059.5365340071767,-383.91050541530956,-759.4637056788224,-896.7518240748727,-3774.4850156638254,-1821.9114662236502,0.06666666666666667
