,node_id,tone2PN_AMPA_current,tone2PN_NMDA_current,PN2PN_i_AMPA_current,PN2PN_i_NMDA_current,bg2pyr_AMPA_current,bg2pyr_NMDA_current,spikes
0,1,-1108.401689924963,-211.61561514047253,-911.5273176968365,-523.4458977372886,-1183.5702944628442,-247.8645518974799,3.6666666666666665
1,3001,-794.4532897186648,-160.34215610597815,-820.9598759400859,-502.52014201200194,-2862.0848176389577,-679.4391977961794,3.0
2,3002,-682.7748937463789,-129.88593713497127,-419.7285778909163,-241.6061829754163,-3967.632860014603,-1198.881387224695,2.933333333333333
3,2,-1046.9008058241593,-190.49346807499654,-594.563220880719,-338.697538917487,-1449.1999567656333,-326.499007051817,2.8666666666666667
4,3,-1229.2066284012917,-223.0323129019849,-455.8983085559376,-256.3475908036173,-1717.369935490011,-393.41265424541865,2.8666666666666667
5,3003,-1071.0681052882396,-210.87686166206615,-1156.0770361531863,-694.9594263716851,-2886.5659297075235,-629.3495114533151,2.8666666666666667
6,3004,-1171.769946821029,-225.37759522463688,-447.2248713390848,-261.09962144197294,-3705.8581064360797,-982.8096462134515,2.8
7,4,-1069.7123548763411,-184.28016620149882,-733.57008610906,-394.59540119459575,-1625.986352634438,-365.2443122709414,2.533333333333333
8,5,-921.9208052522824,-161.22426671594803,-544.9172024474123,-302.7915158373981,-1432.2451241983435,-338.3050866181123,2.466666666666667
9,3005,-1080.7466383195838,-202.31171038499144,-553.9979574919614,-320.5159285322242,-3672.277041221928,-919.2924569326648,2.3333333333333335
10,3006,-1052.1646789796196,-196.06964639562293,-563.0701509676499,-334.84350492931924,-2678.742779088416,-577.3224074711006,1.8
11,6,-1015.9885247474554,-172.5980807421614,-409.66697755794047,-227.16143328961095,-1398.370736238317,-336.18574740936504,1.6
12,3007,-1154.3668533308219,-231.25231862282317,-340.0524138835771,-201.97686406813142,-2054.1422812464566,-437.382466850345,1.4
13,7,-1287.9835675421614,-234.71824830325554,-785.3837960484667,-448.7856166032171,-1010.599891348325,-234.51703235152056,1.3333333333333333
14,8,-1142.3883094108262,-210.0379898044855,-593.3898538312412,-345.1214761337213,-1398.736940982118,-307.6808739336442,0.9333333333333333
15,3008,-608.3507809521145,-108.9183229901778,-440.8724698098803,-262.9120798054645,-3401.577680206253,-792.9372947639279,0.8666666666666667
16,9,-1342.6576405052597,-226.58617461404987,-789.8430999491222,-434.21722925985796,-2012.877778203305,-468.2105188865627,0.6666666666666666
17,3009,-827.0088715710461,-152.91458659064313,-937.6449680416745,-560.1974648041805,-3099.9722408762145,-761.6242310121092,0.6
18,3010,-1259.4403070307815,-249.0369021570035,-568.6650249535222,-341.6517509803116,-2951.0438906531485,-704.4861485261357,0.6
19,10,-784.1894751130268,-143.8270999616031,-610.8787386224566,-337.4078212005569,-1689.7077611316697,-397.00106952615187,0.6
20,11,-1184.0473913935616,-226.15746637174976,-479.5259626840767,-271.3918591116836,-1556.7097251783664,-339.3136899805187,0.6
21,3011,-728.9927981995233,-128.22060952622712,-539.4953518721853,-309.84731416928474,-4122.815525913329,-1010.145621270572,0.6
22,3012,-1141.29278866512,-212.7131706570113,-855.6532882253389,-497.3747918564559,-3326.9100353745794,-938.784882113316,0.5333333333333333
23,12,-580.6194755753114,-104.86318408623995,-745.1408788629127,-430.5970294614452,-1456.9586940637325,-344.8948158917472,0.5333333333333333
24,3013,-918.1905558616132,-171.70868812001763,-577.0321411829838,-344.8602850087201,-2931.1060852003952,-724.5343632909927,0.4666666666666667
25,13,-1430.5186282566021,-267.2715333593691,-614.4263846243832,-346.04430318398,-1720.6931472448555,-401.23477416261244,0.4666666666666667
26,3014,-1226.0836451496918,-242.15767326494887,-161.82001604914058,-95.16609902826096,-2963.2333899661753,-640.5192743290045,0.4
27,14,-744.8831446124958,-126.95085958256917,-496.3216899973351,-280.5066002108529,-1443.9362746977304,-327.7984123692675,0.3333333333333333
28,3015,-669.0847825570578,-126.35997041495474,-879.7862346148155,-525.858617186072,-3228.1710254125437,-807.9230028000551,0.3333333333333333
29,15,-954.5834540204263,-179.3595903041142,-771.6474675521689,-442.14218729825444,-1341.5174134444776,-300.86142865690823,0.3333333333333333
30,16,-1311.7909098190867,-226.4425457610388,-251.68290139361585,-137.54776875953146,-1159.9450155951442,-279.1837274747491,0.3333333333333333
31,3016,-1487.1862502016527,-294.84490483829876,-319.3511469932473,-188.19142380062337,-3004.600287512452,-696.6456236879,0.3333333333333333
32,17,-1125.7926714257226,-200.62750261125973,-629.2853406521507,-353.02042759955225,-1282.2681660095122,-300.7091282113549,0.26666666666666666
33,3017,-703.673531786587,-142.58712883495684,-286.1535394928699,-163.3107478284964,-3564.2183856847505,-917.2937539569637,0.26666666666666666
34,3018,-1079.4428647410616,-217.61474273931066,-474.7737432280669,-285.9366283023975,-3033.5373506276374,-704.9970573563562,0.26666666666666666
35,18,-794.1174586536023,-136.76235936009343,-810.3684777958912,-452.2008192774342,-1629.1598293828795,-383.8727581403263,0.26666666666666666
36,19,-973.9326916054927,-188.77156007478564,-620.3995157292915,-361.6081355688307,-1095.5798566330598,-247.30101419477842,0.2
37,3019,-1234.7740197770486,-247.530275731559,-481.8439182193054,-292.9183072381317,-4935.017151138925,-1361.8172123240477,0.2
38,3020,-1423.1872510016437,-280.3599093865912,-997.9485188550854,-604.8610852744548,-3771.7469994167977,-894.9283643496833,0.13333333333333333
