,cell id,Cell Type,PN_A Convergence,PN_C Convergence,SOM Convergence,PV Convergence,Total Exc Convergence,Total Inh Convergence,Net Exc,net Exc only PV,Total number of connections,Winner connections,is winner?,recieves tone?,disynapses
0,1,PN Type A Cell,11,2,2,41,13,43,-30,-28,56,0,Loser,recieves tone,0
1,2,PN Type A Cell,11,7,4,41,18,45,-27,-23,63,2,Loser,recieves tone,794
2,3,PN Type A Cell,6,4,2,45,10,47,-37,-35,57,0,Loser,recieves tone,792
3,4,PN Type A Cell,12,3,1,49,15,50,-35,-34,65,0,Loser,recieves tone,852
4,5,PN Type A Cell,14,3,2,48,17,50,-33,-31,67,2,Loser,recieves tone,949
5,6,PN Type A Cell,17,4,7,53,21,60,-39,-32,81,0,Loser,recieves tone,941
6,7,PN Type A Cell,9,5,2,41,14,43,-29,-27,57,2,Loser,recieves tone,1028
7,8,PN Type A Cell,8,3,3,44,11,47,-36,-33,58,0,Loser,does not recieve tone,807
8,9,PN Type A Cell,6,8,6,45,14,51,-37,-31,65,0,Loser,does not recieve tone,885
9,10,PN Type A Cell,5,8,3,61,13,64,-51,-48,77,2,Loser,does not recieve tone,880
10,11,PN Type A Cell,10,7,1,38,17,39,-22,-21,56,2,Loser,does not recieve tone,1201
11,12,PN Type A Cell,13,5,5,51,18,56,-38,-33,74,3,Loser,recieves tone,727
12,13,PN Type A Cell,14,1,2,42,15,44,-29,-27,59,0,Loser,recieves tone,1003
13,14,PN Type A Cell,7,1,3,45,8,48,-40,-37,56,1,Loser,recieves tone,804
14,15,PN Type A Cell,8,4,4,39,12,43,-31,-27,55,0,Loser,does not recieve tone,904
15,16,PN Type A Cell,9,2,7,52,11,59,-48,-41,70,1,Loser,recieves tone,753
16,17,PN Type A Cell,11,7,1,46,18,47,-29,-28,65,2,Loser,recieves tone,1015
17,18,PN Type A Cell,10,6,4,52,16,56,-40,-36,72,2,Loser,does not recieve tone,894
18,19,PN Type A Cell,17,3,4,56,20,60,-40,-36,80,1,Loser,recieves tone,1013
19,20,PN Type A Cell,9,3,5,61,12,66,-54,-49,78,1,Loser,recieves tone,1096
20,21,PN Type A Cell,12,5,5,34,17,39,-22,-17,56,0,Loser,recieves tone,1208
21,22,PN Type A Cell,10,5,7,50,15,57,-42,-35,72,2,Loser,recieves tone,694
22,23,PN Type A Cell,18,8,3,53,26,56,-30,-27,82,3,Loser,recieves tone,979
23,24,PN Type A Cell,12,5,2,46,17,48,-31,-29,65,0,Loser,recieves tone,1062
24,25,PN Type A Cell,12,6,1,42,18,43,-25,-24,61,0,Loser,recieves tone,918
25,26,PN Type A Cell,8,5,0,49,13,49,-36,-36,62,2,Loser,recieves tone,877
26,27,PN Type A Cell,13,3,5,44,16,49,-33,-28,65,1,Loser,recieves tone,909
27,28,PN Type A Cell,6,1,4,55,7,59,-52,-48,66,0,Loser,recieves tone,871
28,29,PN Type A Cell,9,4,5,34,13,39,-26,-21,52,2,Loser,recieves tone,1082
29,30,PN Type A Cell,11,3,2,48,14,50,-36,-34,64,2,Loser,recieves tone,676
30,31,PN Type A Cell,14,6,7,44,20,51,-31,-24,71,1,Loser,recieves tone,960
31,32,PN Type A Cell,9,1,6,46,10,52,-42,-36,62,0,Loser,recieves tone,867
32,33,PN Type A Cell,12,4,4,47,16,51,-35,-31,67,1,Loser,does not recieve tone,882
33,34,PN Type A Cell,13,4,0,33,17,33,-16,-16,50,1,Loser,recieves tone,894
34,35,PN Type A Cell,12,2,1,53,14,54,-40,-39,68,1,Loser,recieves tone,654
35,36,PN Type A Cell,7,2,3,39,9,42,-33,-30,51,0,Loser,recieves tone,1034
36,37,PN Type A Cell,16,6,8,43,22,51,-29,-21,73,4,Loser,recieves tone,736
37,38,PN Type A Cell,10,3,4,43,13,47,-34,-30,60,1,Loser,recieves tone,889
38,39,PN Type A Cell,13,3,3,48,16,51,-35,-32,67,2,Loser,recieves tone,842
39,40,PN Type A Cell,12,4,4,45,16,49,-33,-29,65,1,Loser,does not recieve tone,926
40,41,PN Type A Cell,10,4,8,55,14,63,-49,-41,77,2,Loser,recieves tone,892
41,42,PN Type A Cell,10,4,2,47,14,49,-35,-33,63,1,Loser,recieves tone,1085
42,43,PN Type A Cell,10,4,3,52,14,55,-41,-38,69,0,Loser,does not recieve tone,883
43,44,PN Type A Cell,11,3,3,45,14,48,-34,-31,62,0,Loser,recieves tone,1034
44,45,PN Type A Cell,14,3,3,48,17,51,-34,-31,68,2,Loser,does not recieve tone,866
45,46,PN Type A Cell,15,5,5,40,20,45,-25,-20,65,1,Loser,recieves tone,934
46,47,PN Type A Cell,5,7,7,39,12,46,-34,-27,58,1,Loser,does not recieve tone,751
47,48,PN Type A Cell,11,7,7,45,18,52,-34,-27,70,0,Loser,recieves tone,804
48,49,PN Type A Cell,10,4,2,35,14,37,-23,-21,51,1,Loser,does not recieve tone,878
49,50,PN Type A Cell,11,5,3,40,16,43,-27,-24,59,2,Loser,does not recieve tone,681
50,51,PN Type A Cell,15,9,2,50,24,52,-28,-26,76,3,Loser,recieves tone,796
51,52,PN Type A Cell,12,5,0,42,17,42,-25,-25,59,3,Loser,recieves tone,978
52,53,PN Type A Cell,13,4,4,44,17,48,-31,-27,65,1,Loser,recieves tone,853
53,54,PN Type A Cell,11,5,7,46,16,53,-37,-30,69,2,Loser,recieves tone,841
54,55,PN Type A Cell,10,5,6,38,15,44,-29,-23,59,3,Loser,recieves tone,906
55,56,PN Type A Cell,6,9,5,44,15,49,-34,-29,64,4,Loser,recieves tone,760
56,57,PN Type A Cell,7,4,1,51,11,52,-41,-40,63,0,Loser,recieves tone,878
57,58,PN Type A Cell,13,6,5,51,19,56,-37,-32,75,2,Loser,recieves tone,1015
58,59,PN Type A Cell,8,2,5,51,10,56,-46,-41,66,0,Loser,recieves tone,1037
59,60,PN Type A Cell,12,2,3,53,14,56,-42,-39,70,0,Loser,recieves tone,966
