,cell id,Cell Type,PN_A Convergence,PN_C Convergence,SOM Convergence,PV Convergence,Total Exc Convergence,Total Inh Convergence,Net Exc,net Exc only PV
0,0,PN Type A Cell,52,15,34,33,67,67,0,34
1,1,PN Type A Cell,45,14,42,34,59,76,-17,25
2,2,PN Type A Cell,45,14,31,33,59,64,-5,26
3,3,PN Type A Cell,56,18,36,32,74,68,6,42
4,4,PN Type A Cell,49,13,38,35,62,73,-11,27
5,5,PN Type A Cell,43,21,37,38,64,75,-11,26
6,6,PN Type A Cell,47,12,46,39,59,85,-26,20
7,7,PN Type A Cell,61,26,34,38,87,72,15,49
8,8,PN Type A Cell,37,20,31,46,57,77,-20,11
9,9,PN Type A Cell,43,17,37,38,60,75,-15,22
10,10,PN Type A Cell,41,15,31,33,56,64,-8,23
11,11,PN Type A Cell,41,11,32,37,52,69,-17,15
12,12,PN Type A Cell,48,24,39,36,72,75,-3,36
13,13,PN Type A Cell,43,17,32,31,60,63,-3,29
14,14,PN Type A Cell,66,18,33,43,84,76,8,41
15,15,PN Type A Cell,51,24,41,41,75,82,-7,34
16,16,PN Type A Cell,39,30,46,42,69,88,-19,27
17,17,PN Type A Cell,49,19,37,29,68,66,2,39
18,18,PN Type A Cell,51,16,39,42,67,81,-14,25
19,19,PN Type A Cell,53,18,36,43,71,79,-8,28
20,20,PN Type A Cell,43,12,43,32,55,75,-20,23
21,21,PN Type A Cell,48,27,36,32,75,68,7,43
22,22,PN Type A Cell,44,17,49,33,61,82,-21,28
23,23,PN Type A Cell,46,24,41,36,70,77,-7,34
24,24,PN Type A Cell,53,24,49,38,77,87,-10,39
25,25,PN Type A Cell,42,18,49,36,60,85,-25,24
26,26,PN Type A Cell,54,24,43,34,78,77,1,44
27,27,PN Type A Cell,52,20,38,36,72,74,-2,36
28,28,PN Type A Cell,39,20,37,36,59,73,-14,23
29,29,PN Type A Cell,49,19,41,31,68,72,-4,37
30,30,PN Type A Cell,37,15,27,42,52,69,-17,10
31,31,PN Type A Cell,46,18,40,35,64,75,-11,29
32,32,PN Type A Cell,39,25,37,30,64,67,-3,34
33,33,PN Type A Cell,43,11,38,38,54,76,-22,16
34,34,PN Type A Cell,42,21,46,37,63,83,-20,26
35,35,PN Type A Cell,47,19,41,38,66,79,-13,28
36,36,PN Type A Cell,45,20,33,32,65,65,0,33
37,37,PN Type A Cell,54,20,39,38,74,77,-3,36
38,38,PN Type A Cell,61,23,46,37,84,83,1,47
39,39,PN Type A Cell,44,18,44,32,62,76,-14,30
40,40,PN Type A Cell,44,15,35,37,59,72,-13,22
41,41,PN Type A Cell,49,17,34,38,66,72,-6,28
42,42,PN Type A Cell,56,23,28,33,79,61,18,46
43,43,PN Type A Cell,34,14,47,28,48,75,-27,20
44,44,PN Type A Cell,38,29,34,30,67,64,3,37
45,45,PN Type A Cell,38,17,32,34,55,66,-11,21
46,46,PN Type A Cell,48,21,36,30,69,66,3,39
47,47,PN Type A Cell,45,28,45,30,73,75,-2,43
48,48,PN Type A Cell,43,18,40,36,61,76,-15,25
49,49,PN Type A Cell,42,33,40,39,75,79,-4,36
50,50,PN Type A Cell,56,14,35,36,70,71,-1,34
51,51,PN Type A Cell,36,30,37,34,66,71,-5,32
52,52,PN Type A Cell,53,22,38,35,75,73,2,40
53,53,PN Type A Cell,43,13,26,38,56,64,-8,18
54,54,PN Type A Cell,50,22,32,48,72,80,-8,24
55,55,PN Type A Cell,35,23,40,34,58,74,-16,24
56,56,PN Type A Cell,40,16,27,43,56,70,-14,13
57,57,PN Type A Cell,43,17,45,33,60,78,-18,27
58,58,PN Type A Cell,49,15,38,25,64,63,1,39
59,59,PN Type A Cell,51,15,24,38,66,62,4,28
60,60,PN Type A Cell,50,21,27,36,71,63,8,35
61,61,PN Type A Cell,59,30,38,39,89,77,12,50
62,62,PN Type A Cell,37,15,42,52,52,94,-42,0
63,63,PN Type A Cell,45,13,41,35,58,76,-18,23
64,64,PN Type A Cell,38,19,24,27,57,51,6,30
65,65,PN Type A Cell,50,18,33,41,68,74,-6,27
66,66,PN Type A Cell,50,13,31,35,63,66,-3,28
67,67,PN Type A Cell,47,13,33,37,60,70,-10,23
68,68,PN Type A Cell,47,20,35,37,67,72,-5,30
69,69,PN Type A Cell,38,24,29,35,62,64,-2,27
70,70,PN Type A Cell,33,15,39,28,48,67,-19,20
71,71,PN Type A Cell,46,17,41,34,63,75,-12,29
72,72,PN Type A Cell,45,21,46,32,66,78,-12,34
73,73,PN Type A Cell,28,17,38,31,45,69,-24,14
74,74,PN Type A Cell,48,17,39,37,65,76,-11,28
75,75,PN Type A Cell,38,17,35,36,55,71,-16,19
76,76,PN Type A Cell,47,15,33,33,62,66,-4,29
77,77,PN Type A Cell,46,16,33,36,62,69,-7,26
78,78,PN Type A Cell,49,16,38,27,65,65,0,38
79,79,PN Type A Cell,43,20,34,36,63,70,-7,27
80,80,PN Type A Cell,33,15,39,40,48,79,-31,8
81,81,PN Type A Cell,57,19,46,31,76,77,-1,45
82,82,PN Type A Cell,39,20,36,34,59,70,-11,25
83,83,PN Type A Cell,59,15,33,35,74,68,6,39
84,84,PN Type A Cell,34,21,48,39,55,87,-32,16
85,85,PN Type A Cell,39,20,37,27,59,64,-5,32
86,86,PN Type A Cell,46,12,37,51,58,88,-30,7
87,87,PN Type A Cell,48,17,38,39,65,77,-12,26
88,88,PN Type A Cell,41,16,39,34,57,73,-16,23
89,89,PN Type A Cell,43,26,34,36,69,70,-1,33
90,90,PN Type A Cell,61,25,34,37,86,71,15,49
91,91,PN Type A Cell,51,22,45,32,73,77,-4,41
92,92,PN Type A Cell,53,17,28,30,70,58,12,40
93,93,PN Type A Cell,40,18,40,38,58,78,-20,20
94,94,PN Type A Cell,45,15,38,52,60,90,-30,8
95,95,PN Type A Cell,41,18,41,34,59,75,-16,25
96,96,PN Type A Cell,38,13,50,38,51,88,-37,13
97,97,PN Type A Cell,51,17,45,25,68,70,-2,43
98,98,PN Type A Cell,55,19,34,33,74,67,7,41
99,99,PN Type A Cell,49,14,42,50,63,92,-29,13
100,100,PN Type A Cell,54,16,32,33,70,65,5,37
101,101,PN Type A Cell,54,21,34,41,75,75,0,34
102,102,PN Type A Cell,44,28,26,39,72,65,7,33
103,103,PN Type A Cell,37,19,40,25,56,65,-9,31
104,104,PN Type A Cell,39,13,47,35,52,82,-30,17
105,105,PN Type A Cell,48,13,41,33,61,74,-13,28
106,106,PN Type A Cell,30,17,33,31,47,64,-17,16
107,107,PN Type A Cell,34,18,32,41,52,73,-21,11
108,108,PN Type A Cell,45,23,41,39,68,80,-12,29
109,109,PN Type A Cell,51,25,33,28,76,61,15,48
110,110,PN Type A Cell,47,13,44,29,60,73,-13,31
111,111,PN Type A Cell,49,16,45,27,65,72,-7,38
112,112,PN Type A Cell,42,23,46,29,65,75,-10,36
113,113,PN Type A Cell,37,14,42,37,51,79,-28,14
114,114,PN Type A Cell,47,13,45,37,60,82,-22,23
115,115,PN Type A Cell,39,16,33,30,55,63,-8,25
116,116,PN Type A Cell,44,18,42,32,62,74,-12,30
117,117,PN Type A Cell,39,19,37,28,58,65,-7,30
118,118,PN Type A Cell,31,21,43,32,52,75,-23,20
119,119,PN Type A Cell,33,21,39,34,54,73,-19,20
120,120,PN Type A Cell,39,16,37,32,55,69,-14,23
121,121,PN Type A Cell,51,15,51,39,66,90,-24,27
122,122,PN Type A Cell,38,16,46,38,54,84,-30,16
123,123,PN Type A Cell,50,22,37,40,72,77,-5,32
124,124,PN Type A Cell,48,24,44,31,72,75,-3,41
125,125,PN Type A Cell,42,14,34,38,56,72,-16,18
126,126,PN Type A Cell,41,14,34,38,55,72,-17,17
127,127,PN Type A Cell,54,16,43,31,70,74,-4,39
128,128,PN Type A Cell,43,11,47,43,54,90,-36,11
129,129,PN Type A Cell,47,14,36,36,61,72,-11,25
130,130,PN Type A Cell,43,7,43,32,50,75,-25,18
131,131,PN Type A Cell,41,22,50,37,63,87,-24,26
132,132,PN Type A Cell,40,19,44,25,59,69,-10,34
133,133,PN Type A Cell,39,21,50,40,60,90,-30,20
134,134,PN Type A Cell,36,10,51,37,46,88,-42,9
135,135,PN Type A Cell,54,20,39,34,74,73,1,40
136,136,PN Type A Cell,50,18,34,30,68,64,4,38
137,137,PN Type A Cell,39,20,47,24,59,71,-12,35
138,138,PN Type A Cell,53,19,47,30,72,77,-5,42
139,139,PN Type A Cell,39,18,33,31,57,64,-7,26
140,140,PN Type A Cell,49,21,32,25,70,57,13,45
141,141,PN Type A Cell,53,20,43,24,73,67,6,49
142,142,PN Type A Cell,53,24,37,25,77,62,15,52
143,143,PN Type A Cell,62,24,42,34,86,76,10,52
144,144,PN Type A Cell,43,18,36,17,61,53,8,44
145,145,PN Type A Cell,36,20,37,42,56,79,-23,14
146,146,PN Type A Cell,36,26,36,26,62,62,0,36
147,147,PN Type A Cell,46,16,43,30,62,73,-11,32
148,148,PN Type A Cell,42,15,27,30,57,57,0,27
149,149,PN Type A Cell,60,20,32,34,80,66,14,46
150,150,PN Type A Cell,42,18,42,34,60,76,-16,26
151,151,PN Type A Cell,49,23,42,27,72,69,3,45
152,152,PN Type A Cell,52,12,35,38,64,73,-9,26
153,153,PN Type A Cell,54,19,40,26,73,66,7,47
154,154,PN Type A Cell,46,16,48,46,62,94,-32,16
155,155,PN Type A Cell,42,24,36,28,66,64,2,38
156,156,PN Type A Cell,46,23,42,29,69,71,-2,40
157,157,PN Type A Cell,61,20,46,29,81,75,6,52
158,158,PN Type A Cell,50,14,46,41,64,87,-23,23
159,159,PN Type A Cell,49,21,44,43,70,87,-17,27
160,160,PN Type A Cell,50,23,34,33,73,67,6,40
161,161,PN Type A Cell,37,15,45,35,52,80,-28,17
162,162,PN Type A Cell,42,17,41,32,59,73,-14,27
163,163,PN Type A Cell,46,22,32,32,68,64,4,36
164,164,PN Type A Cell,43,10,38,37,53,75,-22,16
165,165,PN Type A Cell,51,17,42,42,68,84,-16,26
166,166,PN Type A Cell,38,18,45,44,56,89,-33,12
167,167,PN Type A Cell,51,18,34,27,69,61,8,42
168,168,PN Type A Cell,45,18,37,28,63,65,-2,35
169,169,PN Type A Cell,51,13,39,30,64,69,-5,34
170,170,PN Type A Cell,39,22,47,30,61,77,-16,31
171,171,PN Type A Cell,38,16,44,34,54,78,-24,20
172,172,PN Type A Cell,50,19,22,47,69,69,0,22
173,173,PN Type A Cell,57,23,44,38,80,82,-2,42
174,174,PN Type A Cell,50,15,38,29,65,67,-2,36
175,175,PN Type A Cell,49,15,38,30,64,68,-4,34
176,176,PN Type A Cell,31,28,26,24,59,50,9,35
177,177,PN Type A Cell,47,23,37,33,70,70,0,37
178,178,PN Type A Cell,42,19,36,42,61,78,-17,19
179,179,PN Type A Cell,45,20,36,46,65,82,-17,19
180,180,PN Type A Cell,56,19,29,35,75,64,11,40
181,181,PN Type A Cell,38,19,34,32,57,66,-9,25
182,182,PN Type A Cell,51,13,40,36,64,76,-12,28
183,183,PN Type A Cell,52,29,42,30,81,72,9,51
184,184,PN Type A Cell,49,13,47,36,62,83,-21,26
185,185,PN Type A Cell,54,15,48,42,69,90,-21,27
186,186,PN Type A Cell,52,20,36,36,72,72,0,36
187,187,PN Type A Cell,46,20,39,43,66,82,-16,23
188,188,PN Type A Cell,44,17,39,40,61,79,-18,21
189,189,PN Type A Cell,40,24,35,26,64,61,3,38
190,190,PN Type A Cell,39,21,33,29,60,62,-2,31
191,191,PN Type A Cell,48,13,33,38,61,71,-10,23
192,192,PN Type A Cell,48,20,41,37,68,78,-10,31
193,193,PN Type A Cell,36,18,36,34,54,70,-16,20
194,194,PN Type A Cell,54,22,40,36,76,76,0,40
195,195,PN Type A Cell,44,20,40,38,64,78,-14,26
196,196,PN Type A Cell,48,16,40,27,64,67,-3,37
197,197,PN Type A Cell,44,21,47,31,65,78,-13,34
198,198,PN Type A Cell,51,22,37,21,73,58,15,52
199,199,PN Type A Cell,42,19,51,40,61,91,-30,21
200,200,PN Type A Cell,38,14,49,31,52,80,-28,21
201,201,PN Type A Cell,52,15,35,32,67,67,0,35
202,202,PN Type A Cell,51,19,42,40,70,82,-12,30
203,203,PN Type A Cell,42,16,41,30,58,71,-13,28
204,204,PN Type A Cell,47,22,34,34,69,68,1,35
205,205,PN Type A Cell,55,16,32,35,71,67,4,36
206,206,PN Type A Cell,48,18,27,33,66,60,6,33
207,207,PN Type A Cell,39,20,43,33,59,76,-17,26
208,208,PN Type A Cell,41,22,37,40,63,77,-14,23
209,209,PN Type A Cell,51,17,41,37,68,78,-10,31
210,210,PN Type A Cell,47,21,41,24,68,65,3,44
211,211,PN Type A Cell,51,17,52,40,68,92,-24,28
212,212,PN Type A Cell,46,20,39,30,66,69,-3,36
213,213,PN Type A Cell,39,22,50,30,61,80,-19,31
214,214,PN Type A Cell,45,18,36,31,63,67,-4,32
215,215,PN Type A Cell,48,19,31,44,67,75,-8,23
216,216,PN Type A Cell,46,17,37,31,63,68,-5,32
217,217,PN Type A Cell,52,20,40,35,72,75,-3,37
218,218,PN Type A Cell,44,20,36,40,64,76,-12,24
219,219,PN Type A Cell,41,23,50,35,64,85,-21,29
