timestamps population node_ids
0 'tone' 0
20 'tone' 0
40 'tone' 0
60 'tone' 0
80 'tone' 0
100 'tone' 0
120 'tone' 0
140 'tone' 0
160 'tone' 0
180 'tone' 0
200 'tone' 0
220 'tone' 0
240 'tone' 0
260 'tone' 0
280 'tone' 0
300 'tone' 0
320 'tone' 0
340 'tone' 0
360 'tone' 0
380 'tone' 0
400 'tone' 0
420 'tone' 0
440 'tone' 0
460 'tone' 0
480 'tone' 0
500 'tone' 0
4000 'tone' 0
4020 'tone' 0
4040 'tone' 0
4060 'tone' 0
4080 'tone' 0
4100 'tone' 0
4120 'tone' 0
4140 'tone' 0
4160 'tone' 0
4180 'tone' 0
4200 'tone' 0
4220 'tone' 0
4240 'tone' 0
4260 'tone' 0
4280 'tone' 0
4300 'tone' 0
4320 'tone' 0
4340 'tone' 0
4360 'tone' 0
4380 'tone' 0
4400 'tone' 0
4420 'tone' 0
4440 'tone' 0
4460 'tone' 0
4480 'tone' 0
4500 'tone' 0
8000 'tone' 0
8020 'tone' 0
8040 'tone' 0
8060 'tone' 0
8080 'tone' 0
8100 'tone' 0
8120 'tone' 0
8140 'tone' 0
8160 'tone' 0
8180 'tone' 0
8200 'tone' 0
8220 'tone' 0
8240 'tone' 0
8260 'tone' 0
8280 'tone' 0
8300 'tone' 0
8320 'tone' 0
8340 'tone' 0
8360 'tone' 0
8380 'tone' 0
8400 'tone' 0
8420 'tone' 0
8440 'tone' 0
8460 'tone' 0
8480 'tone' 0
8500 'tone' 0
12000 'tone' 0
12020 'tone' 0
12040 'tone' 0
12060 'tone' 0
12080 'tone' 0
12100 'tone' 0
12120 'tone' 0
12140 'tone' 0
12160 'tone' 0
12180 'tone' 0
12200 'tone' 0
12220 'tone' 0
12240 'tone' 0
12260 'tone' 0
12280 'tone' 0
12300 'tone' 0
12320 'tone' 0
12340 'tone' 0
12360 'tone' 0
12380 'tone' 0
12400 'tone' 0
12420 'tone' 0
12440 'tone' 0
12460 'tone' 0
12480 'tone' 0
12500 'tone' 0
16000 'tone' 0
16020 'tone' 0
16040 'tone' 0
16060 'tone' 0
16080 'tone' 0
16100 'tone' 0
16120 'tone' 0
16140 'tone' 0
16160 'tone' 0
16180 'tone' 0
16200 'tone' 0
16220 'tone' 0
16240 'tone' 0
16260 'tone' 0
16280 'tone' 0
16300 'tone' 0
16320 'tone' 0
16340 'tone' 0
16360 'tone' 0
16380 'tone' 0
16400 'tone' 0
16420 'tone' 0
16440 'tone' 0
16460 'tone' 0
16480 'tone' 0
16500 'tone' 0
20000 'tone' 0
20020 'tone' 0
20040 'tone' 0
20060 'tone' 0
20080 'tone' 0
20100 'tone' 0
20120 'tone' 0
20140 'tone' 0
