timestamps population node_ids
600 'shock' 0
610 'shock' 0
620 'shock' 0
630 'shock' 0
640 'shock' 0
650 'shock' 0
660 'shock' 0
670 'shock' 0
680 'shock' 0
690 'shock' 0
700 'shock' 0
4600 'shock' 0
4610 'shock' 0
4620 'shock' 0
4630 'shock' 0
4640 'shock' 0
4650 'shock' 0
4660 'shock' 0
4670 'shock' 0
4680 'shock' 0
4690 'shock' 0
4700 'shock' 0
8600 'shock' 0
8610 'shock' 0
8620 'shock' 0
8630 'shock' 0
8640 'shock' 0
8650 'shock' 0
8660 'shock' 0
8670 'shock' 0
8680 'shock' 0
8690 'shock' 0
8700 'shock' 0
12600 'shock' 0
12610 'shock' 0
12620 'shock' 0
12630 'shock' 0
12640 'shock' 0
12650 'shock' 0
12660 'shock' 0
12670 'shock' 0
12680 'shock' 0
12690 'shock' 0
12700 'shock' 0
16600 'shock' 0
16610 'shock' 0
16620 'shock' 0
16630 'shock' 0
16640 'shock' 0
16650 'shock' 0
16660 'shock' 0
16670 'shock' 0
16680 'shock' 0
16690 'shock' 0
16700 'shock' 0
20600 'shock' 0
20610 'shock' 0
20620 'shock' 0
20630 'shock' 0
20640 'shock' 0
20650 'shock' 0
20660 'shock' 0
20670 'shock' 0
20680 'shock' 0
20690 'shock' 0
20700 'shock' 0
24600 'shock' 0
24610 'shock' 0
24620 'shock' 0
24630 'shock' 0
24640 'shock' 0
24650 'shock' 0
24660 'shock' 0
24670 'shock' 0
24680 'shock' 0
24690 'shock' 0
24700 'shock' 0
28600 'shock' 0
28610 'shock' 0
28620 'shock' 0
28630 'shock' 0
28640 'shock' 0
28650 'shock' 0
28660 'shock' 0
28670 'shock' 0
28680 'shock' 0
28690 'shock' 0
28700 'shock' 0
32600 'shock' 0
32610 'shock' 0
32620 'shock' 0
32630 'shock' 0
32640 'shock' 0
32650 'shock' 0
32660 'shock' 0
32670 'shock' 0
32680 'shock' 0
32690 'shock' 0
32700 'shock' 0
36600 'shock' 0
36610 'shock' 0
36620 'shock' 0
36630 'shock' 0
36640 'shock' 0
36650 'shock' 0
36660 'shock' 0
36670 'shock' 0
36680 'shock' 0
36690 'shock' 0
36700 'shock' 0
2250 'shock' 0
2255 'shock' 0
2260 'shock' 0
2265 'shock' 0
2270 'shock' 0
2275 'shock' 0
2280 'shock' 0
2285 'shock' 0
2290 'shock' 0
2295 'shock' 0
2300 'shock' 0
2305 'shock' 0
2310 'shock' 0
2315 'shock' 0
2320 'shock' 0
2325 'shock' 0
2330 'shock' 0
2335 'shock' 0
2340 'shock' 0
2345 'shock' 0
2350 'shock' 0
6250 'shock' 0
6255 'shock' 0
6260 'shock' 0
6265 'shock' 0
6270 'shock' 0
6275 'shock' 0
6280 'shock' 0
6285 'shock' 0
6290 'shock' 0
6295 'shock' 0
6300 'shock' 0
6305 'shock' 0
6310 'shock' 0
6315 'shock' 0
6320 'shock' 0
6325 'shock' 0
6330 'shock' 0
6335 'shock' 0
6340 'shock' 0
6345 'shock' 0
6350 'shock' 0
10250 'shock' 0
10255 'shock' 0
10260 'shock' 0
10265 'shock' 0
10270 'shock' 0
10275 'shock' 0
10280 'shock' 0
10285 'shock' 0
10290 'shock' 0
10295 'shock' 0
10300 'shock' 0
10305 'shock' 0
10310 'shock' 0
10315 'shock' 0
10320 'shock' 0
10325 'shock' 0
10330 'shock' 0
10335 'shock' 0
10340 'shock' 0
10345 'shock' 0
10350 'shock' 0
14250 'shock' 0
14255 'shock' 0
14260 'shock' 0
14265 'shock' 0
14270 'shock' 0
14275 'shock' 0
14280 'shock' 0
14285 'shock' 0
14290 'shock' 0
14295 'shock' 0
14300 'shock' 0
14305 'shock' 0
14310 'shock' 0
14315 'shock' 0
14320 'shock' 0
14325 'shock' 0
14330 'shock' 0
14335 'shock' 0
14340 'shock' 0
14345 'shock' 0
14350 'shock' 0
18250 'shock' 0
18255 'shock' 0
18260 'shock' 0
18265 'shock' 0
18270 'shock' 0
18275 'shock' 0
18280 'shock' 0
18285 'shock' 0
18290 'shock' 0
18295 'shock' 0
18300 'shock' 0
18305 'shock' 0
18310 'shock' 0
18315 'shock' 0
18320 'shock' 0
18325 'shock' 0
18330 'shock' 0
18335 'shock' 0
18340 'shock' 0
18345 'shock' 0
18350 'shock' 0
22250 'shock' 0
22255 'shock' 0
22260 'shock' 0
22265 'shock' 0
22270 'shock' 0
22275 'shock' 0
22280 'shock' 0
22285 'shock' 0
22290 'shock' 0
22295 'shock' 0
22300 'shock' 0
22305 'shock' 0
22310 'shock' 0
22315 'shock' 0
22320 'shock' 0
22325 'shock' 0
22330 'shock' 0
22335 'shock' 0
22340 'shock' 0
22345 'shock' 0
22350 'shock' 0
26250 'shock' 0
26255 'shock' 0
26260 'shock' 0
26265 'shock' 0
26270 'shock' 0
26275 'shock' 0
26280 'shock' 0
26285 'shock' 0
26290 'shock' 0
26295 'shock' 0
26300 'shock' 0
26305 'shock' 0
26310 'shock' 0
26315 'shock' 0
26320 'shock' 0
26325 'shock' 0
26330 'shock' 0
26335 'shock' 0
26340 'shock' 0
26345 'shock' 0
26350 'shock' 0
30250 'shock' 0
30255 'shock' 0
30260 'shock' 0
30265 'shock' 0
30270 'shock' 0
30275 'shock' 0
30280 'shock' 0
30285 'shock' 0
30290 'shock' 0
30295 'shock' 0
30300 'shock' 0
30305 'shock' 0
30310 'shock' 0
30315 'shock' 0
30320 'shock' 0
30325 'shock' 0
30330 'shock' 0
30335 'shock' 0
30340 'shock' 0
30345 'shock' 0
30350 'shock' 0
34250 'shock' 0
34255 'shock' 0
34260 'shock' 0
34265 'shock' 0
34270 'shock' 0
34275 'shock' 0
34280 'shock' 0
34285 'shock' 0
34290 'shock' 0
34295 'shock' 0
34300 'shock' 0
34305 'shock' 0
34310 'shock' 0
34315 'shock' 0
34320 'shock' 0
34325 'shock' 0
34330 'shock' 0
34335 'shock' 0
34340 'shock' 0
34345 'shock' 0
34350 'shock' 0
38250 'shock' 0
38255 'shock' 0
38260 'shock' 0
38265 'shock' 0
38270 'shock' 0
38275 'shock' 0
38280 'shock' 0
38285 'shock' 0
38290 'shock' 0
38295 'shock' 0
38300 'shock' 0
38305 'shock' 0
38310 'shock' 0
38315 'shock' 0
38320 'shock' 0
38325 'shock' 0
38330 'shock' 0
38335 'shock' 0
38340 'shock' 0
38345 'shock' 0
38350 'shock' 0
40900 'shock' 0
40905 'shock' 0
40910 'shock' 0
40915 'shock' 0
40920 'shock' 0
40925 'shock' 0
40930 'shock' 0
40935 'shock' 0
40940 'shock' 0
40945 'shock' 0
40950 'shock' 0
40955 'shock' 0
40960 'shock' 0
40965 'shock' 0
40970 'shock' 0
40975 'shock' 0
40980 'shock' 0
40985 'shock' 0
40990 'shock' 0
40995 'shock' 0
41000 'shock' 0
44900 'shock' 0
44905 'shock' 0
44910 'shock' 0
44915 'shock' 0
44920 'shock' 0
44925 'shock' 0
44930 'shock' 0
44935 'shock' 0
44940 'shock' 0
44945 'shock' 0
44950 'shock' 0
44955 'shock' 0
44960 'shock' 0
44965 'shock' 0
44970 'shock' 0
44975 'shock' 0
44980 'shock' 0
44985 'shock' 0
44990 'shock' 0
44995 'shock' 0
45000 'shock' 0
48900 'shock' 0
48905 'shock' 0
48910 'shock' 0
48915 'shock' 0
48920 'shock' 0
48925 'shock' 0
48930 'shock' 0
48935 'shock' 0
48940 'shock' 0
48945 'shock' 0
48950 'shock' 0
48955 'shock' 0
48960 'shock' 0
48965 'shock' 0
48970 'shock' 0
48975 'shock' 0
48980 'shock' 0
48985 'shock' 0
48990 'shock' 0
48995 'shock' 0
49000 'shock' 0
52900 'shock' 0
52905 'shock' 0
52910 'shock' 0
52915 'shock' 0
52920 'shock' 0
52925 'shock' 0
52930 'shock' 0
52935 'shock' 0
52940 'shock' 0
52945 'shock' 0
52950 'shock' 0
52955 'shock' 0
52960 'shock' 0
52965 'shock' 0
52970 'shock' 0
52975 'shock' 0
52980 'shock' 0
52985 'shock' 0
52990 'shock' 0
52995 'shock' 0
53000 'shock' 0
56900 'shock' 0
56905 'shock' 0
56910 'shock' 0
56915 'shock' 0
56920 'shock' 0
56925 'shock' 0
56930 'shock' 0
56935 'shock' 0
56940 'shock' 0
56945 'shock' 0
56950 'shock' 0
56955 'shock' 0
56960 'shock' 0
