timestamps population node_ids
200 'tone' 0
250 'tone' 0
300 'tone' 0
350 'tone' 0
400 'tone' 0
450 'tone' 0
500 'tone' 0
550 'tone' 0
600 'tone' 0
650 'tone' 0
700 'tone' 0
4200 'tone' 0
4225 'tone' 0
4250 'tone' 0
4275 'tone' 0
4300 'tone' 0
4325 'tone' 0
4350 'tone' 0
4375 'tone' 0
4400 'tone' 0
4425 'tone' 0
4450 'tone' 0
4475 'tone' 0
4500 'tone' 0
4525 'tone' 0
4550 'tone' 0
4575 'tone' 0
4600 'tone' 0
4625 'tone' 0
4650 'tone' 0
4675 'tone' 0
4700 'tone' 0
8200 'tone' 0
8225 'tone' 0
8250 'tone' 0
8275 'tone' 0
8300 'tone' 0
8325 'tone' 0
8350 'tone' 0
8375 'tone' 0
8400 'tone' 0
8425 'tone' 0
8450 'tone' 0
8475 'tone' 0
8500 'tone' 0
8525 'tone' 0
8550 'tone' 0
8575 'tone' 0
8600 'tone' 0
8625 'tone' 0
8650 'tone' 0
8675 'tone' 0
8700 'tone' 0
12200 'tone' 0
12225 'tone' 0
12250 'tone' 0
12275 'tone' 0
12300 'tone' 0
12325 'tone' 0
12350 'tone' 0
12375 'tone' 0
12400 'tone' 0
12425 'tone' 0
12450 'tone' 0
12475 'tone' 0
12500 'tone' 0
12525 'tone' 0
12550 'tone' 0
12575 'tone' 0
12600 'tone' 0
12625 'tone' 0
12650 'tone' 0
12675 'tone' 0
12700 'tone' 0
16200 'tone' 0
16225 'tone' 0
16250 'tone' 0
16275 'tone' 0
16300 'tone' 0
16325 'tone' 0
16350 'tone' 0
16375 'tone' 0
16400 'tone' 0
16425 'tone' 0
16450 'tone' 0
16475 'tone' 0
16500 'tone' 0
16525 'tone' 0
16550 'tone' 0
16575 'tone' 0
16600 'tone' 0
16625 'tone' 0
16650 'tone' 0
16675 'tone' 0
16700 'tone' 0
20200 'tone' 0
20225 'tone' 0
20250 'tone' 0
20275 'tone' 0
20300 'tone' 0
20325 'tone' 0
20350 'tone' 0
20375 'tone' 0
20400 'tone' 0
20425 'tone' 0
20450 'tone' 0
20475 'tone' 0
20500 'tone' 0
20525 'tone' 0
20550 'tone' 0
20575 'tone' 0
20600 'tone' 0
20625 'tone' 0
20650 'tone' 0
20675 'tone' 0
20700 'tone' 0
24200 'tone' 0
24225 'tone' 0
24250 'tone' 0
24275 'tone' 0
24300 'tone' 0
24325 'tone' 0
24350 'tone' 0
24375 'tone' 0
24400 'tone' 0
24425 'tone' 0
24450 'tone' 0
24475 'tone' 0
24500 'tone' 0
24525 'tone' 0
24550 'tone' 0
24575 'tone' 0
24600 'tone' 0
24625 'tone' 0
24650 'tone' 0
24675 'tone' 0
24700 'tone' 0
28200 'tone' 0
28225 'tone' 0
28250 'tone' 0
28275 'tone' 0
28300 'tone' 0
28325 'tone' 0
28350 'tone' 0
28375 'tone' 0
28400 'tone' 0
28425 'tone' 0
28450 'tone' 0
28475 'tone' 0
28500 'tone' 0
28525 'tone' 0
28550 'tone' 0
28575 'tone' 0
28600 'tone' 0
28625 'tone' 0
28650 'tone' 0
28675 'tone' 0
28700 'tone' 0
32200 'tone' 0
32225 'tone' 0
32250 'tone' 0
32275 'tone' 0
32300 'tone' 0
32325 'tone' 0
32350 'tone' 0
32375 'tone' 0
32400 'tone' 0
32425 'tone' 0
32450 'tone' 0
32475 'tone' 0
32500 'tone' 0
32525 'tone' 0
32550 'tone' 0
32575 'tone' 0
32600 'tone' 0
32625 'tone' 0
32650 'tone' 0
32675 'tone' 0
32700 'tone' 0
36200 'tone' 0
36225 'tone' 0
36250 'tone' 0
36275 'tone' 0
36300 'tone' 0
36325 'tone' 0
36350 'tone' 0
36375 'tone' 0
36400 'tone' 0
36425 'tone' 0
36450 'tone' 0
36475 'tone' 0
36500 'tone' 0
36525 'tone' 0
36550 'tone' 0
36575 'tone' 0
36600 'tone' 0
36625 'tone' 0
36650 'tone' 0
36675 'tone' 0
36700 'tone' 0
