edge_type_id target_query source_query syn_weight distance_range model_template dynamics_params target_sections
100 "pop_name=='['PyrA', 'PyrC']'" "pop_name=='['PyrA', 'PyrC']'" 1 "[0, 9999]" pyrD2pyrD_STFD PN2PN_feng_min.json ['basal']
101 pop_name=='['PV']' pop_name=='['PV']' 1 "[0.0, 9999]" interD2interD_STFD INT2INT_feng_min.json ['somatic']
102 "pop_name=='['PyrA', 'PyrC']'" pop_name=='['PV']' 1 "[0.0, 9999]" interD2pyrD_STFD INT2PN_feng_min.json ['somatic']
103 pop_name=='['PV']' "pop_name=='['PyrA', 'PyrC']'" 1 "[0.0, 9999]" pyrD2interD_STFD PN2INT_feng_min.json ['basal']
104 pop_name=='['SOM']' "pop_name=='['PyrA', 'PyrC']'" 1 "[0.0, 9999]" pyrD2interD_P2SOM_STFD PN2SOM_tyler.json ['basal']
105 "pop_name=='['PyrA', 'PyrC']'" pop_name=='['SOM']' 1 "[0.0, 9999]" interD2pyrD_SOM2P_STFD SOM2PN_tyler.json ['somatic']
106 pop_name=='['SOM']' pop_name=='['PV']' 1 "[0.0, 9999]" interD2interD_SOMPV_STFD INT2SOM_tyler.json ['somatic']
107 pop_name=='['CR']' "pop_name=='['PyrA', 'PyrC']'" 1 "[0.0, 9999]" pyrD2interD_P2CR_STFD PN2CR_tyler.json ['basal']
108 "pop_name=='['PyrA', 'PyrC']'" pop_name=='['CR']' 1 "[0.0, 9999]" interD2pyrD_CR2P_STFD CR2PN_tyler.json ['somatic']
109 pop_name=='['PV']' pop_name=='['CR']' 1 "[0.0, 9999]" interD2interD_SOMPV_STFD CR2INT_tyler.json ['basal']
110 pop_name=='['SOM']' pop_name=='['CR']' 1 "[0.0, 9999]" interD2interD_SOMPV_STFD CR2SOM_tyler.json ['basal']
