edge_type_id target_query source_query model_template dynamics_params target_sections syn_weight distance_range
120 "pop_name=='['PyrA', 'PyrC']'" "pop_name=='['PyrA', 'PyrC']'" pyrD2pyrD_STFD PN2PN_feng_min.json ['basal'] 1 "[0, 300.0]"
121 pop_name=='['PV']' pop_name=='['PV']' interD2interD_STFD INT2INT_feng_min.json ['somatic'] 1 "[0.0, 300.0]"
122 "pop_name=='['PyrA', 'PyrC']'" pop_name=='['PV']' interD2pyrD_STFD INT2PN_feng_min.json ['somatic'] 1 "[0.0, 300.0]"
123 pop_name=='['PV']' "pop_name=='['PyrA', 'PyrC']'" pyrD2interD_STFD PN2INT_feng_min.json ['basal'] 1 "[0.0, 300.0]"
124 pop_name=='['SOM']' "pop_name=='['PyrA', 'PyrC']'" pyrD2interD_P2SOM_STFD PN2SOM_tyler.json ['basal'] 1 "[0.0, 300.0]"
125 "pop_name=='['PyrA', 'PyrC']'" pop_name=='['SOM']' interD2pyrD_SOM2P_STFD SOM2PN_tyler.json ['somatic'] 1 "[0.0, 300.0]"
126 pop_name=='['SOM']' pop_name=='['PV']' interD2interD_SOMPV_STFD INT2SOM_tyler.json ['somatic'] 1 "[0.0, 300.0]"
127 pop_name=='['CR']' "pop_name=='['PyrA', 'PyrC']'" pyrD2interD_P2CR_STFD PN2CR_tyler.json ['basal'] 1 "[0.0, 300.0]"
128 "pop_name=='['PyrA', 'PyrC']'" pop_name=='['CR']' interD2pyrD_CR2P_STFD CR2PN_tyler.json ['somatic'] 1 "[0.0, 300.0]"
129 pop_name=='['PV']' pop_name=='['CR']' interD2interD_SOMPV_STFD CR2INT_tyler.json ['basal'] 1 "[0.0, 300.0]"
130 pop_name=='['SOM']' pop_name=='['CR']' interD2interD_SOMPV_STFD CR2SOM_tyler.json ['basal'] 1 "[0.0, 300.0]"
