timestamps population node_ids
600 'shock' 0
610 'shock' 0
620 'shock' 0
630 'shock' 0
640 'shock' 0
650 'shock' 0
660 'shock' 0
670 'shock' 0
680 'shock' 0
690 'shock' 0
700 'shock' 0
4600 'shock' 0
4610 'shock' 0
4620 'shock' 0
4630 'shock' 0
4640 'shock' 0
4650 'shock' 0
4660 'shock' 0
4670 'shock' 0
4680 'shock' 0
4690 'shock' 0
4700 'shock' 0
8600 'shock' 0
8610 'shock' 0
8620 'shock' 0
8630 'shock' 0
8640 'shock' 0
8650 'shock' 0
8660 'shock' 0
8670 'shock' 0
8680 'shock' 0
8690 'shock' 0
8700 'shock' 0
12600 'shock' 0
12610 'shock' 0
12620 'shock' 0
12630 'shock' 0
12640 'shock' 0
12650 'shock' 0
12660 'shock' 0
12670 'shock' 0
12680 'shock' 0
12690 'shock' 0
12700 'shock' 0
16600 'shock' 0
16610 'shock' 0
16620 'shock' 0
16630 'shock' 0
16640 'shock' 0
16650 'shock' 0
16660 'shock' 0
16670 'shock' 0
16680 'shock' 0
16690 'shock' 0
16700 'shock' 0
20600 'shock' 0
20610 'shock' 0
20620 'shock' 0
20630 'shock' 0
20640 'shock' 0
20650 'shock' 0
20660 'shock' 0
20670 'shock' 0
20680 'shock' 0
20690 'shock' 0
20700 'shock' 0
24600 'shock' 0
24610 'shock' 0
24620 'shock' 0
24630 'shock' 0
24640 'shock' 0
24650 'shock' 0
24660 'shock' 0
24670 'shock' 0
24680 'shock' 0
24690 'shock' 0
24700 'shock' 0
28600 'shock' 0
28610 'shock' 0
28620 'shock' 0
28630 'shock' 0
28640 'shock' 0
28650 'shock' 0
28660 'shock' 0
28670 'shock' 0
28680 'shock' 0
28690 'shock' 0
28700 'shock' 0
32600 'shock' 0
32610 'shock' 0
32620 'shock' 0
32630 'shock' 0
32640 'shock' 0
32650 'shock' 0
32660 'shock' 0
32670 'shock' 0
32680 'shock' 0
32690 'shock' 0
32700 'shock' 0
36600 'shock' 0
36610 'shock' 0
36620 'shock' 0
36630 'shock' 0
36640 'shock' 0
36650 'shock' 0
36660 'shock' 0
36670 'shock' 0
36680 'shock' 0
36690 'shock' 0
36700 'shock' 0
