timestamps population node_ids
400 'shock' 0
405 'shock' 0
410 'shock' 0
415 'shock' 0
420 'shock' 0
425 'shock' 0
430 'shock' 0
435 'shock' 0
440 'shock' 0
445 'shock' 0
450 'shock' 0
455 'shock' 0
460 'shock' 0
465 'shock' 0
470 'shock' 0
475 'shock' 0
480 'shock' 0
485 'shock' 0
490 'shock' 0
495 'shock' 0
500 'shock' 0
4400 'shock' 0
4405 'shock' 0
4410 'shock' 0
4415 'shock' 0
4420 'shock' 0
4425 'shock' 0
4430 'shock' 0
4435 'shock' 0
4440 'shock' 0
4445 'shock' 0
4450 'shock' 0
4455 'shock' 0
4460 'shock' 0
4465 'shock' 0
4470 'shock' 0
4475 'shock' 0
4480 'shock' 0
4485 'shock' 0
4490 'shock' 0
4495 'shock' 0
4500 'shock' 0
8400 'shock' 0
8405 'shock' 0
8410 'shock' 0
8415 'shock' 0
8420 'shock' 0
8425 'shock' 0
8430 'shock' 0
8435 'shock' 0
8440 'shock' 0
8445 'shock' 0
8450 'shock' 0
8455 'shock' 0
8460 'shock' 0
8465 'shock' 0
8470 'shock' 0
8475 'shock' 0
8480 'shock' 0
8485 'shock' 0
8490 'shock' 0
8495 'shock' 0
8500 'shock' 0
12400 'shock' 0
12405 'shock' 0
12410 'shock' 0
12415 'shock' 0
12420 'shock' 0
12425 'shock' 0
12430 'shock' 0
12435 'shock' 0
12440 'shock' 0
12445 'shock' 0
12450 'shock' 0
12455 'shock' 0
12460 'shock' 0
12465 'shock' 0
12470 'shock' 0
12475 'shock' 0
12480 'shock' 0
12485 'shock' 0
12490 'shock' 0
12495 'shock' 0
12500 'shock' 0
16400 'shock' 0
16405 'shock' 0
16410 'shock' 0
16415 'shock' 0
16420 'shock' 0
16425 'shock' 0
16430 'shock' 0
16435 'shock' 0
16440 'shock' 0
16445 'shock' 0
16450 'shock' 0
16455 'shock' 0
16460 'shock' 0
16465 'shock' 0
16470 'shock' 0
16475 'shock' 0
16480 'shock' 0
16485 'shock' 0
16490 'shock' 0
16495 'shock' 0
16500 'shock' 0
20400 'shock' 0
20405 'shock' 0
20410 'shock' 0
20415 'shock' 0
20420 'shock' 0
20425 'shock' 0
20430 'shock' 0
20435 'shock' 0
20440 'shock' 0
20445 'shock' 0
20450 'shock' 0
20455 'shock' 0
20460 'shock' 0
20465 'shock' 0
20470 'shock' 0
20475 'shock' 0
20480 'shock' 0
20485 'shock' 0
20490 'shock' 0
20495 'shock' 0
20500 'shock' 0
24400 'shock' 0
24405 'shock' 0
24410 'shock' 0
24415 'shock' 0
24420 'shock' 0
24425 'shock' 0
24430 'shock' 0
24435 'shock' 0
24440 'shock' 0
24445 'shock' 0
24450 'shock' 0
24455 'shock' 0
24460 'shock' 0
24465 'shock' 0
24470 'shock' 0
24475 'shock' 0
24480 'shock' 0
24485 'shock' 0
24490 'shock' 0
24495 'shock' 0
24500 'shock' 0
28400 'shock' 0
28405 'shock' 0
28410 'shock' 0
28415 'shock' 0
28420 'shock' 0
28425 'shock' 0
28430 'shock' 0
28435 'shock' 0
28440 'shock' 0
28445 'shock' 0
28450 'shock' 0
28455 'shock' 0
28460 'shock' 0
28465 'shock' 0
28470 'shock' 0
28475 'shock' 0
28480 'shock' 0
28485 'shock' 0
28490 'shock' 0
28495 'shock' 0
28500 'shock' 0
32400 'shock' 0
32405 'shock' 0
32410 'shock' 0
32415 'shock' 0
32420 'shock' 0
32425 'shock' 0
32430 'shock' 0
32435 'shock' 0
32440 'shock' 0
32445 'shock' 0
32450 'shock' 0
32455 'shock' 0
32460 'shock' 0
32465 'shock' 0
32470 'shock' 0
32475 'shock' 0
32480 'shock' 0
32485 'shock' 0
32490 'shock' 0
32495 'shock' 0
32500 'shock' 0
36400 'shock' 0
36405 'shock' 0
36410 'shock' 0
36415 'shock' 0
36420 'shock' 0
36425 'shock' 0
36430 'shock' 0
36435 'shock' 0
36440 'shock' 0
36445 'shock' 0
36450 'shock' 0
36455 'shock' 0
36460 'shock' 0
36465 'shock' 0
36470 'shock' 0
36475 'shock' 0
36480 'shock' 0
36485 'shock' 0
36490 'shock' 0
36495 'shock' 0
36500 'shock' 0
