timestamps population node_ids
400 'shock' 0
410 'shock' 0
420 'shock' 0
430 'shock' 0
440 'shock' 0
450 'shock' 0
460 'shock' 0
470 'shock' 0
480 'shock' 0
490 'shock' 0
500 'shock' 0
4400 'shock' 0
4410 'shock' 0
4420 'shock' 0
4430 'shock' 0
4440 'shock' 0
4450 'shock' 0
4460 'shock' 0
4470 'shock' 0
4480 'shock' 0
4490 'shock' 0
4500 'shock' 0
8400 'shock' 0
8410 'shock' 0
8420 'shock' 0
8430 'shock' 0
8440 'shock' 0
8450 'shock' 0
8460 'shock' 0
8470 'shock' 0
8480 'shock' 0
8490 'shock' 0
8500 'shock' 0
12400 'shock' 0
12410 'shock' 0
12420 'shock' 0
12430 'shock' 0
12440 'shock' 0
12450 'shock' 0
12460 'shock' 0
12470 'shock' 0
12480 'shock' 0
12490 'shock' 0
12500 'shock' 0
16400 'shock' 0
16410 'shock' 0
16420 'shock' 0
16430 'shock' 0
16440 'shock' 0
16450 'shock' 0
16460 'shock' 0
16470 'shock' 0
16480 'shock' 0
16490 'shock' 0
16500 'shock' 0
20400 'shock' 0
20410 'shock' 0
20420 'shock' 0
20430 'shock' 0
20440 'shock' 0
20450 'shock' 0
20460 'shock' 0
20470 'shock' 0
20480 'shock' 0
20490 'shock' 0
20500 'shock' 0
24400 'shock' 0
24410 'shock' 0
24420 'shock' 0
24430 'shock' 0
24440 'shock' 0
24450 'shock' 0
24460 'shock' 0
24470 'shock' 0
24480 'shock' 0
24490 'shock' 0
24500 'shock' 0
28400 'shock' 0
28410 'shock' 0
28420 'shock' 0
28430 'shock' 0
28440 'shock' 0
28450 'shock' 0
28460 'shock' 0
28470 'shock' 0
28480 'shock' 0
28490 'shock' 0
28500 'shock' 0
32400 'shock' 0
32410 'shock' 0
32420 'shock' 0
32430 'shock' 0
32440 'shock' 0
32450 'shock' 0
32460 'shock' 0
32470 'shock' 0
32480 'shock' 0
32490 'shock' 0
32500 'shock' 0
36400 'shock' 0
36410 'shock' 0
36420 'shock' 0
36430 'shock' 0
36440 'shock' 0
36450 'shock' 0
36460 'shock' 0
36470 'shock' 0
36480 'shock' 0
36490 'shock' 0
36500 'shock' 0
