timestamps population node_ids
0 'tone' 0
50 'tone' 0
100 'tone' 0
150 'tone' 0
200 'tone' 0
250 'tone' 0
300 'tone' 0
350 'tone' 0
400 'tone' 0
450 'tone' 0
500 'tone' 0
4000 'tone' 0
4025 'tone' 0
4050 'tone' 0
4075 'tone' 0
4100 'tone' 0
4125 'tone' 0
4150 'tone' 0
4175 'tone' 0
4200 'tone' 0
4225 'tone' 0
4250 'tone' 0
4275 'tone' 0
4300 'tone' 0
4325 'tone' 0
4350 'tone' 0
4375 'tone' 0
4400 'tone' 0
4425 'tone' 0
4450 'tone' 0
4475 'tone' 0
4500 'tone' 0
8000 'tone' 0
8025 'tone' 0
8050 'tone' 0
8075 'tone' 0
8100 'tone' 0
8125 'tone' 0
8150 'tone' 0
8175 'tone' 0
8200 'tone' 0
8225 'tone' 0
8250 'tone' 0
8275 'tone' 0
8300 'tone' 0
8325 'tone' 0
8350 'tone' 0
8375 'tone' 0
8400 'tone' 0
8425 'tone' 0
8450 'tone' 0
8475 'tone' 0
8500 'tone' 0
12000 'tone' 0
12025 'tone' 0
12050 'tone' 0
12075 'tone' 0
12100 'tone' 0
12125 'tone' 0
12150 'tone' 0
12175 'tone' 0
12200 'tone' 0
12225 'tone' 0
12250 'tone' 0
12275 'tone' 0
12300 'tone' 0
12325 'tone' 0
12350 'tone' 0
12375 'tone' 0
12400 'tone' 0
12425 'tone' 0
12450 'tone' 0
12475 'tone' 0
12500 'tone' 0
16000 'tone' 0
16025 'tone' 0
16050 'tone' 0
16075 'tone' 0
16100 'tone' 0
16125 'tone' 0
16150 'tone' 0
16175 'tone' 0
16200 'tone' 0
16225 'tone' 0
16250 'tone' 0
16275 'tone' 0
16300 'tone' 0
16325 'tone' 0
16350 'tone' 0
16375 'tone' 0
16400 'tone' 0
16425 'tone' 0
16450 'tone' 0
16475 'tone' 0
16500 'tone' 0
20000 'tone' 0
20025 'tone' 0
20050 'tone' 0
20075 'tone' 0
20100 'tone' 0
20125 'tone' 0
20150 'tone' 0
20175 'tone' 0
20200 'tone' 0
20225 'tone' 0
20250 'tone' 0
20275 'tone' 0
20300 'tone' 0
20325 'tone' 0
20350 'tone' 0
20375 'tone' 0
20400 'tone' 0
20425 'tone' 0
20450 'tone' 0
20475 'tone' 0
20500 'tone' 0
24000 'tone' 0
24025 'tone' 0
24050 'tone' 0
24075 'tone' 0
24100 'tone' 0
24125 'tone' 0
24150 'tone' 0
24175 'tone' 0
24200 'tone' 0
24225 'tone' 0
24250 'tone' 0
24275 'tone' 0
24300 'tone' 0
24325 'tone' 0
24350 'tone' 0
24375 'tone' 0
24400 'tone' 0
24425 'tone' 0
24450 'tone' 0
24475 'tone' 0
24500 'tone' 0
28000 'tone' 0
28025 'tone' 0
28050 'tone' 0
28075 'tone' 0
28100 'tone' 0
28125 'tone' 0
28150 'tone' 0
28175 'tone' 0
28200 'tone' 0
28225 'tone' 0
28250 'tone' 0
28275 'tone' 0
28300 'tone' 0
28325 'tone' 0
28350 'tone' 0
28375 'tone' 0
28400 'tone' 0
28425 'tone' 0
28450 'tone' 0
28475 'tone' 0
28500 'tone' 0
32000 'tone' 0
32025 'tone' 0
32050 'tone' 0
32075 'tone' 0
32100 'tone' 0
32125 'tone' 0
32150 'tone' 0
32175 'tone' 0
32200 'tone' 0
32225 'tone' 0
32250 'tone' 0
32275 'tone' 0
32300 'tone' 0
32325 'tone' 0
32350 'tone' 0
32375 'tone' 0
32400 'tone' 0
32425 'tone' 0
32450 'tone' 0
32475 'tone' 0
32500 'tone' 0
36000 'tone' 0
36025 'tone' 0
36050 'tone' 0
36075 'tone' 0
36100 'tone' 0
36125 'tone' 0
36150 'tone' 0
36175 'tone' 0
36200 'tone' 0
36225 'tone' 0
36250 'tone' 0
36275 'tone' 0
36300 'tone' 0
36325 'tone' 0
36350 'tone' 0
36375 'tone' 0
36400 'tone' 0
36425 'tone' 0
36450 'tone' 0
36475 'tone' 0
36500 'tone' 0
